,0,1,2
994,Missouri,Holt,19156.021386919925
137,Arkansas,Pope,180067.82979312076
108,Arkansas,Hempstead,17147.617939208154
1489,Texas,Bandera,94930.0479239488
120,Arkansas,Little River,10981.111241695531
1160,North Carolina,Stokes,29428.169140571517
884,Mississippi,Clay,16749.55787326522
1577,Texas,Hardeman,23446.00841986345
822,Michigan,Huron,209421.6482243917
838,Michigan,Luce,23565.791526953595
1108,North Carolina,Edgecombe,31322.642294423837
1383,South Carolina,Union,48389.83680576924
1794,Virginia,Culpeper,240420.3499105935
18,Alabama,Coosa,9439.414402346863
1668,Texas,Randall,393618.0503044432
1720,Texas,Wichita,9920.349884389214
1001,Missouri,Johnson,7018.464844903213
960,Missouri,Bollinger,28976.159957924854
1650,Texas,Motley,85651.89439692769
1236,Ohio,Noble,84335.9146684804
289,Georgia,Heard,22995.823630435167
1313,Oklahoma,Muskogee,47482.742704088916
1584,Texas,Hemphill,57081.791216421414
1339,Oklahoma,Woodward,171319.54379175277
186,Florida,Lake,397027.3351460825
1688,Texas,Sherman,9353.923485055526
29,Alabama,Geneva,182177.2208932586
1358,South Carolina,Edgefield,100852.27724037407
38,Alabama,Lawrence,31791.376902727035
297,Georgia,Jenkins,111149.11522168481
627,Kentucky,Caldwell,233778.97203520377
114,Arkansas,Jefferson,8306.009573210908
1385,South Carolina,York,34169.06651853523
722,Kentucky,Trimble,72802.98502967748
1575,Texas,Hamilton,175689.12223959938
1426,Tennessee,Houston,11190.064979998382
1789,Virginia,Charles City,52103.47183417661
583,Iowa,Osceola,20492.889359017267
920,Mississippi,Newton,17337.882813152777
294,Georgia,Jasper,70365.4507753167
1837,Virginia,Northumberland,42671.66593796764
385,Idaho,Boundary,17117.158457013284
900,Mississippi,Jackson,442485.894978358
1435,Tennessee,Lewis,7441.8782372497935
1507,Texas,Caldwell,35139.81475827197
1622,Texas,Leon,23530.90770490127
1090,North Carolina,Caldwell,118474.76461608983
1324,Oklahoma,Pontotoc,6144.678758442029
1263,Ohio,Wyandot,31795.368990965984
1640,Texas,Medina,94235.39381192876
287,Georgia,Harris,16638.0727034877
416,Idaho,Valley,24512.386922302205
1766,Vermont,Grand Isle,48837.91365472796
425,Illinois,Carroll,15693.982393328248
240,Georgia,Charlton,634686.7289294294
1801,Virginia,Floyd,5627.799251518115
1107,North Carolina,Durham,33759.24666554646
1533,Texas,Crosby,53625.30828287093
471,Illinois,Mason,42107.09304105105
1018,Missouri,Moniteau,106722.70045235252
260,Georgia,Dodge,383690.1444568952
1063,Nevada,Douglas,13623.083392874658
356,Georgia,Troup,465740.80079656746
1217,Ohio,Knox,271061.9302379941
580,Iowa,Monroe,10659.292847735862
1787,Virginia,Caroline,120792.48340918873
1028,Missouri,Pemiscot,1027781.9743119894
103,Arkansas,Franklin,33792.38537230433
599,Iowa,Union,32585.871619608046
37,Alabama,Lauderdale,18209.074739521122
175,Florida,Hamilton,134285.62630684226
327,Georgia,Pickens,19401.36519243851
690,Kentucky,McCreary,74773.01928304914
714,Kentucky,Russell,93729.67179876968
1654,Texas,Nolan,93003.65816461437
1069,Nevada,Lincoln,10432.346180380799
1524,Texas,Colorado,93906.83953577786
1370,South Carolina,Lee,5862.30672450506
857,Michigan,Osceola,73959.76582910253
1645,Texas,Mitchell,15174.731035862282
139,Arkansas,Pulaski,7187.260315705073
470,Illinois,Marshall,7940.422407140445
1175,North Carolina,Yancey,9377.659440059073
1680,Texas,San Augustine,59722.27962498694
710,Kentucky,Pulaski,33194.68898302798
94,Arkansas,Conway,165637.3318880607
644,Kentucky,Fayette,65526.1926927484
1088,North Carolina,Burke,81871.44404732098
735,Louisiana,Avoyelles,27150.57604119772
81,Arkansas,Ashley,263743.29864750034
892,Mississippi,Grenada,85144.3389418839
1253,Ohio,Trumbull,16400.973266073033
1806,Virginia,Gloucester,28654.97382184433
1149,North Carolina,Pitt,23300.336995925085
983,Missouri,Dent,8309.620475814698
682,Kentucky,Lyon,10703.874401105384
539,Iowa,Decatur,26350.691883024545
610,Iowa,Wright,32547.889977647817
613,Kentucky,Anderson,441956.8439222158
1106,North Carolina,Duplin,32404.292972072635
142,Arkansas,Scott,37192.477819957
1241,Ohio,Pike,1880282.3075731231
1211,Ohio,Highland,44832.76471171073
946,Mississippi,Wayne,15468.322690507715
1114,North Carolina,Granville,1870871.0992152249
1100,North Carolina,Columbus,21159.850363864538
1478,Tennessee,Williamson,20974.928500990824
785,Massachusetts,Franklin,3496.998736622341
1783,Virginia,Brunswick,9495.064133688835
1838,Virginia,Nottoway,43799.62882369952
713,Kentucky,Rowan,19014.4041052097
943,Mississippi,Walthall,6823.972782666
1060,Nevada,Carson City,36982.71157383279
711,Kentucky,Robertson,10258.826267982955
933,Mississippi,Simpson,5863.754738416183
1878,New Hampshire,Rockingham,52636.28216104521
1432,Tennessee,Lake,11325.965644213342
446,Illinois,Hamilton,38406.99096289147
1628,Texas,Loving,23787.98809199544
