,0,1,2
134,Arkansas,Pike,2890.949961381515
547,Illinois,Peoria,52206.852366249856
18,Alabama,Coosa,1299.0860519773742
1855,Virginia,Grayson,75534.93474478465
521,Illinois,Kane,11622.136868236588
1728,Texas,San Jacinto,20045.131500533505
40,Alabama,Limestone,144371.9730263223
1718,Texas,Red River,-462.0801427987502
882,Mississippi,Prentiss,1405689.4979787727
635,Iowa,Lucas,13832.12853311902
277,Florida,Volusia,8416.25844279781
157,Colorado,Archuleta,12234.179809949015
370,Georgia,Long,5077.95219565697
955,Missouri,Johnson,174247.2061305864
672,Iowa,Woodbury,22436.311754492384
1445,Tennessee,Claiborne,440963.75387000595
11,Alabama,Choctaw,94457.51250177501
771,Michigan,Gogebic,334199.8149660305
503,Illinois,Fayette,49581.848266859044
438,Georgia,Worth,50281.04904856618
722,Louisiana,Webster,15996.782883881902
28,Alabama,Franklin,10825.386863779233
32,Alabama,Henry,313698.3247173373
525,Illinois,Lake,2799060.664371749
1481,Tennessee,Lawrence,147128.66643580116
1798,Utah,Sanpete,35278.8627114687
828,Mississippi,Amite,12983.179612027157
1516,Tennessee,Trousdale,1461956.0678080046
529,Illinois,Logan,114266.98671640706
454,Idaho,Cassia,2174455.0317044775
590,Iowa,Carroll,13113.341871022263
1237,Ohio,Columbiana,24604.56327177476
1271,Ohio,Madison,2167745.532026593
462,Idaho,Gooding,4574.771792331417
637,Iowa,Madison,20757.842786909467
464,Idaho,Jerome,196091.60375615707
1834,Virginia,Caroline,27129.61157925199
1654,Texas,Kaufman,30802.724058943895
73,Arizona,Mohave,14700.545961001502
654,Iowa,Poweshiek,95749.67431935143
850,Mississippi,Holmes,11312.38097640916
866,Mississippi,Lincoln,8792.406971107448
778,Michigan,Ionia,12656.039108263183
399,Georgia,Randolph,74878.58906025892
682,Louisiana,Bossier,118157.87134746055
43,Alabama,Madison,17140.779401188607
1475,Tennessee,Jackson,6127.645854638079
299,Georgia,Calhoun,887.2614417594721
1021,Nebraska,Boyd,14276.029374741998
1850,Virginia,Franklin,8795.748731914877
1766,Texas,Wheeler,63783.757722119015
142,Arkansas,Scott,50021.085001580635
686,Louisiana,Cameron,18035.387514617294
1921,New Hampshire,Coos,17958.687544502573
1365,Oklahoma,Okmulgee,12742.532894895854
1251,Ohio,Greene,5501.285718196211
860,Mississippi,Lamar,4399.3792126317285
1318,Oklahoma,Caddo,2596.9326673004493
1336,Oklahoma,Grady,56164.67107604088
571,Illinois,White,95599.07762064862
1337,Oklahoma,Grant,61531.477631013164
1238,Ohio,Coshocton,360183.6641193862
736,Maine,York,18527.598641411598
257,Florida,Marion,11152.748163310653
1842,Virginia,Cumberland,6052.578530444621
279,Florida,Walton,30919.85426603554
1420,South Carolina,Marlboro,7667.549257586045
66,Arizona,Cochise,81840.53158752451
431,Georgia,Webster,150305.24974723798
4,Alabama,Blount,3980.4975823607188
557,Illinois,Saline,43662.75640057298
1057,Nebraska,Hitchcock,75398.26260399922
979,Missouri,Oregon,47190.25155679395
1375,Oklahoma,Rogers,43002.93478469501
846,Mississippi,Grenada,46908.3834717217
1126,North Carolina,Alleghany,9306.66493531585
1383,Oklahoma,Washington,275855.58207340934
773,Michigan,Gratiot,5738.794692694407
1814,Vermont,Orange,51021.20019207939
1674,Texas,Llano,20658.26781222192
694,Louisiana,Franklin,262291.80087177956
1640,Texas,Hudspeth,35505.64598129408
969,Missouri,Mercer,21130.480539828335
1104,Nebraska,Webster,1219467.7920075671
1806,Utah,Wayne,1066851.0290380975
1599,Texas,Falls,15148.648959563412
217,Colorado,Yuma,441688.0940882622
1511,Tennessee,Smith,81354.87642615296
266,Florida,Pasco,13872.756358138991
1652,Texas,Jones,8288.106838144528
1519,Tennessee,Van Buren,37856.5387675544
155,Colorado,Alamosa,440173.5324654289
1110,Nevada,Douglas,68429.02190752463
501,Illinois,Edwards,236028.73578566103
1758,Texas,Van Zandt,3352.4836138462833
1518,Tennessee,Union,21372.975184871488
1668,Texas,Lee,80084.28400978557
1084,Nebraska,Platte,288.42951762975594
1731,Texas,Schleicher,70638.74881702581
1391,South Carolina,Bamberg,38250.94049767315
1664,Texas,Lamar,93595.19047324882
1130,North Carolina,Beaufort,73276.56993868077
75,Arizona,Pima,4592.20498675486
922,Missouri,Carroll,91935.56571106383
1155,North Carolina,Edgecombe,27822.359568241453
697,Louisiana,Iberville,1866.068522874583
1135,North Carolina,Burke,1091082.4258620911
1283,Ohio,Noble,268547.9329716068
1504,Tennessee,Roane,128620.78448935114
918,Missouri,Caldwell,129516.91534045547
1847,Virginia,Fauquier,417482.5681044376
774,Michigan,Hillsdale,41048.25906445335
1823,Virginia,Appomattox,6965.214980730272
1793,Utah,Morgan,27056.558161287998
908,Missouri,Atchison,77268.65245524164
1075,Nebraska,Morrill,14851.975065667182
1859,Virginia,Hampton,27068.437424502485
465,Idaho,Kootenai,631366.5859903188
1811,Vermont,Essex,291157.41155068943
1017,Nebraska,Banner,12063.990580540225
1243,Ohio,Delaware,45414.06704876367
1482,Tennessee,Lewis,4622.156456997489
1479,Tennessee,Lake,21463.12866452117
681,Louisiana,Bienville,51099.79453769734
859,Mississippi,Lafayette,10746.796600273125
1533,Texas,Atascosa,44034.231862797154
803,Michigan,Montcalm,38362.04477165999
328,Georgia,Early,101293.02732557483
324,Georgia,Dodge,40947.33875632558
143,Arkansas,Searcy,21529.475686060603
317,Georgia,Cook,20316.235188239236
177,Colorado,Garfield,2940634.511255848
1124,North Carolina,Alamance,435563.172668209
1604,Texas,Foard,6884.844582026544
1222,North Carolina,Yancey,39684.81762458573
426,Georgia,Walton,117049.2173093402
701,Louisiana,Lafourche,4955.418769069006
115,Arkansas,Johnson,44080.153462387745
305,Georgia,Chatham,26526.624416902174
531,Illinois,Macoupin,12605.751284708154
720,Louisiana,Vernon,34725.346569556685
1361,Oklahoma,Noble,158209.9085879192
91,Arkansas,Cleburne,79614.67933879698
366,Georgia,Laurens,111119.66419166491
236,Florida,Gilchrist,4335.131276866828
1624,Texas,Hardeman,22132.56208217074
194,Colorado,Mineral,20846.719804637312
140,Arkansas,Randolph,6713.220612531031
1794,Utah,Piute,166198.2702815927
1399,South Carolina,Chesterfield,1699732.4112320924
209,Colorado,Saguache,241376.27196536463
648,Iowa,Page,34911.52874745849
1309,Ohio,Wood,120693.22470370725
1813,Vermont,Grand Isle,38262.144639629565
1444,Tennessee,Chester,96875.15956777803
1610,Texas,Garza,2995.072102830247
1471,Tennessee,Henry,36592.03866779482
1639,Texas,Howard,36257.77780012833
530,Illinois,Macon,445063.9250372946
1891,Virginia,Prince Edward,12537.973776456955
1791,Utah,Kane,4005.778885190788
445,Idaho,Blaine,244017.0566390107
939,Missouri,Dunklin,65438.91003996769
178,Colorado,Gilpin,32664.52610709879
1406,South Carolina,Fairfield,61965.49259886298
149,Arkansas,Van Buren,129.98813349359997
1194,North Carolina,Perquimans,2064308.6717062949
1254,Ohio,Hancock,34194.070918413425
1461,Tennessee,Greene,201186.08931465776
1514,Tennessee,Sumner,62254.04630028397
1079,Nebraska,Otoe,15933.442942937121
580,Iowa,Appanoose,37743.80295155227
1312,Oklahoma,Alfalfa,26084.071689942903
1447,Tennessee,Cocke,99232.18956646154
763,Michigan,Clinton,136368.40284277356
845,Mississippi,Greene,1862852.2186605448
420,Georgia,Troup,127784.41903209861
965,Missouri,Madison,14041.02780653691
1509,Tennessee,Sevier,6868.923557624378
1848,Virginia,Floyd,10861.324679738147
566,Illinois,Vermilion,30796.85080638433
928,Missouri,Clark,82881.25508114061
789,Michigan,Leelanau,55100.76128314876
660,Iowa,Story,73279.09373607016
1629,Texas,Haskell,111329.55315615385
623,Iowa,Ida,815666.9299419348
761,Michigan,Chippewa,100707.8608396488
1876,Virginia,Mecklenburg,-1314.7516148712593
1530,Texas,Aransas,7426.6063881534865
159,Colorado,Bent,7412.457522706644
1414,South Carolina,Kershaw,17390.484022893153
1131,North Carolina,Bertie,52699.457587414705
1507,Tennessee,Scott,38550.09683434476
216,Colorado,Weld,326948.2046495149
25,Alabama,Escambia,21722.610848116106
959,Missouri,Lawrence,1928451.9254565793
1820,Virginia,Alleghany,27654.774279495465
881,Mississippi,Pontotoc,98570.30998878722
869,Mississippi,Marion,23457.899472024834
67,Arizona,Coconino,1396812.3956247298
561,Illinois,Shelby,44255.909624959364
1506,Tennessee,Rutherford,138790.47813609862
1708,Texas,Parker,539926.5626592617
1454,Tennessee,Dyer,48775.94701358343
1818,Vermont,Windsor,993480.0293925089
1212,North Carolina,Union,56239.51795845561
1699,Texas,Navarro,18031.993999984013
114,Arkansas,Jefferson,73200.80902355495
376,Georgia,McDuffie,19142.938251299052
250,Florida,Lake,19573.18610913958
1886,Virginia,Orange,56683.62144421333
1905,Virginia,Spotsylvania,76864.37343500146
1816,Vermont,Washington,4521.712538299062
1436,Tennessee,Bledsoe,9850.154975453954
1697,Texas,Motley,260148.77068514275
619,Iowa,Harrison,194181.809061967
1535,Texas,Bailey,41713.04903653504
1468,Tennessee,Hawkins,283298.4354537268
884,Mississippi,Rankin,4813.903041059318
843,Mississippi,Franklin,32331.511032481354
917,Missouri,Butler,57510.917921966284
340,Georgia,Gilmer,37777.39704161697
1103,Nebraska,Wayne,168431.8317262991
1210,North Carolina,Transylvania,41796.9185411428
1819,Virginia,Albemarle,262291.91210568906
1176,North Carolina,Lenoir,676459.398047161
1790,Utah,Juab,69314.44562698064
1707,Texas,Panola,8630.121554420888
1016,Nebraska,Arthur,4091.5539429053133
70,Arizona,Greenlee,25063.393245557378
759,Michigan,Charlevoix,9721.106395998377
1009,Missouri,Washington,5205.744626001351
1453,Tennessee,Dickson,424603.388647323
1431,South Carolina,Williamsburg,19848.164713656224
307,Georgia,Chattooga,10992.39008728059
434,Georgia,Whitfield,15493.991779175041
1411,South Carolina,Hampton,11507.231870806096
287,Georgia,Barrow,-1616.9773430090388
251,Florida,Lee,149845.19671397153
1897,Virginia,Roanoke,-853.3594212388703
1164,North Carolina,Halifax,84329.77075913807
717,Louisiana,Terrebonne,62269.54944492044
